OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPriceNGN,Discount,RevenueNGN,COGSNGN,ProfitNGN
SO-00038,2025-01-03,C0114,P001,1,65000,0.03,63050,42000,21050
SO-00039,2025-01-05,C0242,P002,1,59000,0.05,56050,38000,18050
SO-00040,2025-01-05,C0135,P006,1,130000,0.03,126100,85000,41100
SO-00041,2025-01-05,C0303,P003,2,140000,0.05,266000,190000,76000
SO-00042,2025-01-05,C0317,P005,1,180000,0,180000,120000,60000
SO-00043,2025-01-06,C0229,P001,2,65000,0.03,126100,84000,42100
SO-00044,2025-01-06,C0308,P010,3,72000,0.03,209520,144000,65520
SO-00045,2025-01-06,C0297,P002,4,59000,0.03,228920,152000,76920
SO-00046,2025-01-06,C0242,P011,2,27000,0.05,51300,32000,19300
SO-00047,2025-01-06,C0196,P005,9,180000,0.08,1490400,1080000,410400
SO-00048,2025-01-06,C0029,P002,2,59000,0,118000,76000,42000
SO-00049,2025-01-06,C0365,P007,1,98000,0,98000,70000,28000
SO-00050,2025-01-06,C0001,P002,11,59000,0.05,616550,418000,198550
SO-00051,2025-01-06,C0083,P002,2,59000,0,118000,76000,42000
SO-00052,2025-01-06,C0153,P011,1,27000,0.03,26190,16000,10190
SO-00053,2025-01-06,C0300,P010,2,72000,0,144000,96000,48000
SO-00054,2025-01-06,C0021,P008,1,420000,0.03,407400,310000,97400
SO-00055,2025-01-06,C0044,P005,3,180000,0.03,523800,360000,163800
SO-00056,2025-01-07,C0029,P011,1,27000,0.05,25650,16000,9650
SO-00057,2025-01-07,C0026,P010,5,72000,0.12,316800,240000,76800
SO-00058,2025-01-07,C0297,P012,3,320000,0.05,912000,690000,222000
SO-00059,2025-01-07,C0400,P010,11,72000,0.08,728640,528000,200640
SO-00060,2025-01-07,C0005,P007,3,98000,0,294000,210000,84000
SO-00061,2025-01-07,C0288,P002,1,59000,0,59000,38000,21000
SO-00062,2025-01-07,C0336,P001,2,65000,0.05,123500,84000,39500
SO-00063,2025-01-07,C0063,P001,1,65000,0.03,63050,42000,21050
SO-00064,2025-01-07,C0161,P007,4,98000,0.12,344960,280000,64960
SO-00065,2025-01-07,C0124,P007,1,98000,0.03,95060,70000,25060
SO-00066,2025-01-07,C0074,P011,8,27000,0.08,198720,128000,70720
SO-00067,2025-01-07,C0044,P001,2,65000,0,130000,84000,46000
SO-00068,2025-01-07,C0229,P010,1,72000,0.03,69840,48000,21840
SO-00069,2025-01-07,C0152,P005,9,180000,0.12,1425600,1080000,345600
SO-00070,2025-01-07,C0002,P012,4,320000,0.05,1216000,920000,296000
SO-00071,2025-01-08,C0207,P004,3,47000,0.05,133950,84000,49950
SO-00072,2025-01-08,C0389,P006,6,130000,0.12,686400,510000,176400
SO-00073,2025-01-08,C0283,P006,2,130000,0,260000,170000,90000
SO-00074,2025-01-08,C0124,P004,1,47000,0.03,45590,28000,17590
SO-00075,2025-01-08,C0187,P008,5,420000,0,2100000,1550000,550000
SO-00076,2025-01-08,C0093,P005,5,180000,0.08,828000,600000,228000
SO-00077,2025-01-08,C0236,P004,4,47000,0.03,182360,112000,70360
SO-00078,2025-01-08,C0263,P011,4,27000,0,108000,64000,44000
SO-00079,2025-01-08,C0251,P002,2,59000,0.1,106200,76000,30200
SO-00080,2025-01-08,C0418,P006,1,130000,0,130000,85000,45000
SO-00081,2025-01-08,C0343,P007,3,98000,0.03,285180,210000,75180
SO-00082,2025-01-08,C0300,P004,1,47000,0.03,45590,28000,17590
SO-00083,2025-01-08,C0234,P011,12,27000,0.05,307800,192000,115800
SO-00084,2025-01-08,C0400,P002,13,59000,0.08,705640,494000,211640
SO-00085,2025-01-08,C0259,P001,3,65000,0.1,175500,126000,49500
SO-00086,2025-01-08,C0261,P010,5,72000,0.12,316800,240000,76800
SO-00087,2025-01-08,C0375,P010,5,72000,0.12,316800,240000,76800
SO-00088,2025-01-09,C0111,P002,13,59000,0.1,690300,494000,196300
SO-00089,2025-01-09,C0313,P010,1,72000,0.03,69840,48000,21840
SO-00090,2025-01-09,C0228,P004,12,47000,0.12,496320,336000,160320
SO-00091,2025-01-09,C0048,P001,2,65000,0.03,126100,84000,42100
SO-00092,2025-01-09,C0334,P007,1,98000,0.03,95060,70000,25060
SO-00093,2025-01-09,C0333,P009,1,690000,0,690000,520000,170000
SO-00094,2025-01-09,C0405,P001,2,65000,0.12,114400,84000,30400
SO-00095,2025-01-09,C0011,P004,2,47000,0,94000,56000,38000
SO-00096,2025-01-10,C0297,P010,1,72000,0,72000,48000,24000
SO-00097,2025-01-10,C0067,P001,14,65000,0.05,864500,588000,276500
SO-00098,2025-01-10,C0168,P010,8,72000,0.08,529920,384000,145920
SO-00099,2025-01-10,C0337,P002,5,59000,0.05,280250,190000,90250
SO-00100,2025-01-10,C0033,P004,2,47000,0.05,89300,56000,33300
SO-00101,2025-01-10,C0225,P002,12,59000,0.12,623040,456000,167040
SO-00102,2025-01-10,C0084,P004,2,47000,0,94000,56000,38000
SO-00103,2025-01-10,C0265,P007,1,98000,0.05,93100,70000,23100
SO-00104,2025-01-10,C0123,P010,5,72000,0,360000,240000,120000
SO-00105,2025-01-10,C0114,P007,2,98000,0,196000,140000,56000
SO-00106,2025-01-10,C0135,P010,5,72000,0.05,342000,240000,102000
SO-00107,2025-01-10,C0418,P004,3,47000,0,141000,84000,57000
SO-00108,2025-01-10,C0189,P002,4,59000,0.12,207680,152000,55680
SO-00109,2025-01-11,C0232,P001,4,65000,0,260000,168000,92000
SO-00110,2025-01-12,C0319,P002,4,59000,0.05,224200,152000,72200
SO-00111,2025-01-12,C0307,P001,1,65000,0,65000,42000,23000
SO-00112,2025-01-12,C0112,P012,4,320000,0.05,1216000,920000,296000
SO-00113,2025-01-12,C0159,P004,1,47000,0,47000,28000,19000
SO-00114,2025-01-12,C0327,P011,1,27000,0,27000,16000,11000
SO-00115,2025-01-13,C0345,P007,5,98000,0,490000,350000,140000
SO-00116,2025-01-13,C0273,P008,1,420000,0.05,399000,310000,89000
SO-00117,2025-01-13,C0165,P012,2,320000,0.05,608000,460000,148000
SO-00118,2025-01-13,C0116,P007,1,98000,0,98000,70000,28000
SO-00119,2025-01-13,C0006,P001,2,65000,0,130000,84000,46000
SO-00120,2025-01-13,C0033,P007,1,98000,0,98000,70000,28000
SO-00121,2025-01-13,C0391,P006,2,130000,0,260000,170000,90000
SO-00122,2025-01-13,C0155,P005,10,180000,0.05,1710000,1200000,510000
SO-00123,2025-01-13,C0249,P010,2,72000,0.03,139680,96000,43680
SO-00124,2025-01-13,C0088,P011,14,27000,0.08,347760,224000,123760
SO-00125,2025-01-13,C0021,P011,1,27000,0.05,25650,16000,9650
SO-00126,2025-01-13,C0215,P008,14,420000,0.05,5586000,4340000,1246000
SO-00127,2025-01-13,C0112,P007,1,98000,0.03,95060,70000,25060
SO-00128,2025-01-14,C0083,P010,3,72000,0,216000,144000,72000
SO-00129,2025-01-14,C0138,P011,4,27000,0.12,95040,64000,31040
SO-00130,2025-01-14,C0338,P004,2,47000,0,94000,56000,38000
SO-00131,2025-01-14,C0285,P001,2,65000,0,130000,84000,46000
SO-00132,2025-01-14,C0040,P010,2,72000,0,144000,96000,48000
SO-00133,2025-01-14,C0299,P002,1,59000,0,59000,38000,21000
SO-00134,2025-01-14,C0051,P006,1,130000,0.03,126100,85000,41100
SO-00135,2025-01-14,C0046,P010,2,72000,0.1,129600,96000,33600
SO-00136,2025-01-14,C0108,P010,5,72000,0.05,342000,240000,102000
SO-00137,2025-01-14,C0393,P011,4,27000,0,108000,64000,44000
SO-00138,2025-01-14,C0311,P004,3,47000,0.05,133950,84000,49950
SO-00139,2025-01-15,C0170,P003,6,140000,0.1,756000,570000,186000
SO-00140,2025-01-15,C0254,P004,4,47000,0.12,165440,112000,53440
SO-00141,2025-01-15,C0408,P005,7,180000,0.08,1159200,840000,319200
SO-00142,2025-01-15,C0287,P003,5,140000,0.03,679000,475000,204000
SO-00143,2025-01-15,C0037,P004,11,47000,0.1,465300,308000,157300
SO-00144,2025-01-15,C0078,P001,1,65000,0.03,63050,42000,21050
SO-00145,2025-01-15,C0406,P005,4,180000,0,720000,480000,240000
SO-00146,2025-01-15,C0299,P001,4,65000,0.05,247000,168000,79000
SO-00147,2025-01-15,C0059,P012,5,320000,0.12,1408000,1150000,258000
SO-00148,2025-01-15,C0080,P002,4,59000,0,236000,152000,84000
SO-00149,2025-01-16,C0305,P003,3,140000,0.05,399000,285000,114000
SO-00150,2025-01-16,C0372,P004,6,47000,0.08,259440,168000,91440
SO-00151,2025-01-16,C0367,P003,1,140000,0.05,133000,95000,38000
SO-00152,2025-01-16,C0324,P007,3,98000,0.12,258720,210000,48720
SO-00153,2025-01-16,C0254,P004,11,47000,0.1,465300,308000,157300
SO-00154,2025-01-16,C0275,P007,5,98000,0.08,450800,350000,100800
SO-00155,2025-01-16,C0256,P012,13,320000,0.08,3827200,2990000,837200
SO-00156,2025-01-17,C0087,P005,6,180000,0.05,1026000,720000,306000
SO-00157,2025-01-17,C0156,P002,5,59000,0.05,280250,190000,90250
SO-00158,2025-01-17,C0402,P004,1,47000,0.05,44650,28000,16650
SO-00159,2025-01-17,C0156,P001,4,65000,0.03,252200,168000,84200
SO-00160,2025-01-17,C0044,P004,2,47000,0,94000,56000,38000
SO-00161,2025-01-17,C0087,P007,4,98000,0.08,360640,280000,80640
SO-00162,2025-01-17,C0159,P002,5,59000,0,295000,190000,105000
SO-00163,2025-01-17,C0026,P001,9,65000,0.08,538200,378000,160200
SO-00164,2025-01-17,C0188,P011,6,27000,0.12,142560,96000,46560
SO-00165,2025-01-18,C0080,P007,3,98000,0,294000,210000,84000
SO-00166,2025-01-18,C0359,P003,3,140000,0,420000,285000,135000
SO-00167,2025-01-18,C0263,P003,5,140000,0.05,665000,475000,190000
SO-00168,2025-01-19,C0354,P011,4,27000,0.03,104760,64000,40760
SO-00169,2025-01-19,C0082,P005,3,180000,0,540000,360000,180000
SO-00170,2025-01-19,C0238,P009,5,690000,0.08,3174000,2600000,574000
SO-00171,2025-01-20,C0189,P002,10,59000,0.12,519200,380000,139200
SO-00172,2025-01-20,C0148,P007,1,98000,0.03,95060,70000,25060
SO-00173,2025-01-20,C0014,P011,1,27000,0,27000,16000,11000
SO-00174,2025-01-20,C0249,P012,1,320000,0,320000,230000,90000
SO-00175,2025-01-20,C0296,P010,4,72000,0.1,259200,192000,67200
SO-00176,2025-01-20,C0148,P001,3,65000,0,195000,126000,69000
SO-00177,2025-01-20,C0101,P006,2,130000,0,260000,170000,90000
SO-00178,2025-01-20,C0163,P008,5,420000,0.05,1995000,1550000,445000
SO-00179,2025-01-20,C0371,P001,1,65000,0.03,63050,42000,21050
SO-00180,2025-01-20,C0209,P007,14,98000,0.05,1303400,980000,323400
SO-00181,2025-01-21,C0141,P001,2,65000,0.03,126100,84000,42100
SO-00182,2025-01-21,C0063,P006,2,130000,0.05,247000,170000,77000
SO-00183,2025-01-21,C0321,P002,5,59000,0.05,280250,190000,90250
SO-00184,2025-01-21,C0214,P009,2,690000,0,1380000,1040000,340000
SO-00185,2025-01-21,C0129,P004,5,47000,0.12,206800,140000,66800
SO-00186,2025-01-21,C0283,P007,2,98000,0,196000,140000,56000
SO-00187,2025-01-21,C0243,P010,12,72000,0.12,760320,576000,184320
SO-00188,2025-01-21,C0330,P007,3,98000,0,294000,210000,84000
SO-00189,2025-01-21,C0011,P009,1,690000,0,690000,520000,170000
SO-00190,2025-01-22,C0208,P002,1,59000,0.03,57230,38000,19230
SO-00191,2025-01-22,C0321,P010,3,72000,0.03,209520,144000,65520
SO-00192,2025-01-22,C0126,P007,2,98000,0.05,186200,140000,46200
SO-00193,2025-01-22,C0314,P004,1,47000,0,47000,28000,19000
SO-00194,2025-01-22,C0036,P011,2,27000,0.03,52380,32000,20380
SO-00195,2025-01-22,C0323,P010,9,72000,0.1,583200,432000,151200
SO-00196,2025-01-22,C0283,P004,2,47000,0,94000,56000,38000
SO-00197,2025-01-22,C0160,P006,3,130000,0.08,358800,255000,103800
SO-00198,2025-01-22,C0201,P004,2,47000,0,94000,56000,38000
SO-00199,2025-01-22,C0129,P007,13,98000,0.1,1146600,910000,236600
SO-00200,2025-01-22,C0014,P006,1,130000,0.05,123500,85000,38500
SO-00201,2025-01-23,C0306,P002,5,59000,0,295000,190000,105000
SO-00202,2025-01-23,C0012,P004,4,47000,0,188000,112000,76000
SO-00203,2025-01-23,C0055,P010,5,72000,0.1,324000,240000,84000
SO-00204,2025-01-23,C0095,P001,12,65000,0.08,717600,504000,213600
SO-00205,2025-01-23,C0073,P002,3,59000,0.08,162840,114000,48840
SO-00206,2025-01-23,C0013,P002,5,59000,0.12,259600,190000,69600
SO-00207,2025-01-23,C0338,P001,5,65000,0.03,315250,210000,105250
SO-00208,2025-01-23,C0218,P006,2,130000,0.05,247000,170000,77000
SO-00209,2025-01-23,C0217,P011,3,27000,0.08,74520,48000,26520
SO-00210,2025-01-23,C0174,P004,2,47000,0,94000,56000,38000
SO-00211,2025-01-23,C0093,P010,9,72000,0.12,570240,432000,138240
SO-00212,2025-01-23,C0057,P001,5,65000,0.03,315250,210000,105250
SO-00213,2025-01-24,C0032,P007,1,98000,0,98000,70000,28000
SO-00214,2025-01-24,C0112,P001,4,65000,0.05,247000,168000,79000
SO-00215,2025-01-24,C0253,P006,2,130000,0,260000,170000,90000
SO-00216,2025-01-24,C0313,P001,1,65000,0,65000,42000,23000
SO-00217,2025-01-24,C0029,P010,1,72000,0.03,69840,48000,21840
SO-00218,2025-01-24,C0202,P006,2,130000,0,260000,170000,90000
SO-00219,2025-01-24,C0062,P011,2,27000,0.1,48600,32000,16600
SO-00220,2025-01-25,C0268,P002,2,59000,0,118000,76000,42000
SO-00221,2025-01-25,C0172,P005,12,180000,0.1,1944000,1440000,504000
SO-00222,2025-01-25,C0109,P002,3,59000,0.05,168150,114000,54150
SO-00223,2025-01-25,C0246,P012,1,320000,0.03,310400,230000,80400
SO-00224,2025-01-25,C0410,P002,3,59000,0.08,162840,114000,48840
SO-00225,2025-01-25,C0246,P003,2,140000,0.03,271600,190000,81600
SO-00226,2025-01-25,C0256,P003,9,140000,0.05,1197000,855000,342000
SO-00227,2025-01-26,C0254,P006,13,130000,0.05,1605500,1105000,500500
SO-00228,2025-01-26,C0080,P006,2,130000,0,260000,170000,90000
SO-00229,2025-01-26,C0309,P011,4,27000,0.05,102600,64000,38600
SO-00230,2025-01-26,C0386,P012,3,320000,0,960000,690000,270000
SO-00231,2025-01-26,C0287,P010,1,72000,0,72000,48000,24000
SO-00232,2025-01-26,C0076,P008,2,420000,0,840000,620000,220000
SO-00233,2025-01-26,C0215,P011,3,27000,0.08,74520,48000,26520
SO-00234,2025-01-27,C0278,P006,6,130000,0.08,717600,510000,207600
SO-00235,2025-01-27,C0088,P001,4,65000,0.05,247000,168000,79000
SO-00236,2025-01-27,C0052,P012,1,320000,0.05,304000,230000,74000
SO-00237,2025-01-27,C0115,P010,4,72000,0,288000,192000,96000
SO-00238,2025-01-27,C0070,P001,7,65000,0.05,432250,294000,138250
SO-00239,2025-01-27,C0246,P011,1,27000,0,27000,16000,11000
SO-00240,2025-01-27,C0298,P002,5,59000,0.05,280250,190000,90250
SO-00241,2025-01-27,C0378,P001,1,65000,0,65000,42000,23000
SO-00242,2025-01-27,C0375,P006,11,130000,0.05,1358500,935000,423500
SO-00243,2025-01-28,C0213,P012,1,320000,0,320000,230000,90000
SO-00244,2025-01-28,C0285,P004,2,47000,0.05,89300,56000,33300
SO-00245,2025-01-28,C0191,P011,2,27000,0,54000,32000,22000
SO-00246,2025-01-28,C0085,P004,2,47000,0.05,89300,56000,33300
SO-00247,2025-01-28,C0350,P002,3,59000,0,177000,114000,63000
SO-00248,2025-01-28,C0150,P010,2,72000,0,144000,96000,48000
SO-00249,2025-01-28,C0123,P005,2,180000,0.05,342000,240000,102000
SO-00250,2025-01-28,C0085,P001,2,65000,0.05,123500,84000,39500
SO-00251,2025-01-28,C0183,P005,10,180000,0.05,1710000,1200000,510000
SO-00252,2025-01-28,C0204,P006,13,130000,0.08,1554800,1105000,449800
SO-00253,2025-01-28,C0204,P004,13,47000,0.12,537680,364000,173680
SO-00254,2025-01-28,C0025,P008,9,420000,0.05,3591000,2790000,801000
SO-00255,2025-01-28,C0194,P010,8,72000,0.05,547200,384000,163200
SO-00256,2025-01-29,C0229,P009,2,690000,0.03,1338600,1040000,298600
SO-00257,2025-01-29,C0053,P004,3,47000,0.05,133950,84000,49950
SO-00258,2025-01-29,C0057,P011,3,27000,0,81000,48000,33000
SO-00259,2025-01-29,C0221,P004,2,47000,0,94000,56000,38000
SO-00260,2025-01-29,C0050,P006,2,130000,0,260000,170000,90000
SO-00261,2025-01-29,C0191,P010,1,72000,0,72000,48000,24000
SO-00262,2025-01-30,C0319,P002,4,59000,0,236000,152000,84000
SO-00263,2025-01-30,C0359,P006,5,130000,0,650000,425000,225000
SO-00264,2025-01-30,C0187,P001,5,65000,0,325000,210000,115000
SO-00265,2025-01-30,C0183,P004,8,47000,0.1,338400,224000,114400
SO-00266,2025-01-30,C0100,P010,2,72000,0,144000,96000,48000
SO-00267,2025-01-30,C0075,P004,14,47000,0.12,579040,392000,187040
SO-00268,2025-01-30,C0330,P010,3,72000,0,216000,144000,72000
SO-00269,2025-01-30,C0203,P009,3,690000,0,2070000,1560000,510000
SO-00270,2025-01-30,C0001,P003,14,140000,0.12,1724800,1330000,394800
SO-00271,2025-01-30,C0240,P007,4,98000,0.03,380240,280000,100240
SO-00272,2025-01-30,C0142,P005,1,180000,0.03,174600,120000,54600
SO-00273,2025-01-30,C0368,P011,3,27000,0.05,76950,48000,28950
SO-00274,2025-01-30,C0081,P004,10,47000,0.08,432400,280000,152400
SO-00275,2025-01-31,C0326,P007,6,98000,0.1,529200,420000,109200
SO-00276,2025-01-31,C0256,P010,10,72000,0.05,684000,480000,204000
SO-00277,2025-01-31,C0093,P010,6,72000,0.12,380160,288000,92160
SO-00278,2025-01-31,C0162,P003,2,140000,0,280000,190000,90000
SO-00279,2025-01-31,C0082,P011,2,27000,0.05,51300,32000,19300
SO-00280,2025-01-31,C0064,P007,2,98000,0.03,190120,140000,50120
SO-00281,2025-01-31,C0169,P001,4,65000,0,260000,168000,92000
SO-00282,2025-01-31,C0066,P001,2,65000,0,130000,84000,46000
SO-00283,2025-01-31,C0054,P002,2,59000,0,118000,76000,42000
SO-00284,2025-01-31,C0369,P004,5,47000,0,235000,140000,95000
SO-00285,2025-01-31,C0105,P004,1,47000,0,47000,28000,19000
SO-00286,2025-01-31,C0071,P006,1,130000,0.03,126100,85000,41100
SO-00287,2025-01-31,C0212,P001,1,65000,0.03,63050,42000,21050
SO-00288,2025-02-01,C0311,P003,3,140000,0,420000,285000,135000
SO-00289,2025-02-01,C0333,P002,5,59000,0.05,280250,190000,90250
SO-00290,2025-02-01,C0329,P010,4,72000,0,288000,192000,96000
SO-00291,2025-02-02,C0247,P006,3,130000,0.03,378300,255000,123300
SO-00292,2025-02-02,C0283,P001,1,65000,0.03,63050,42000,21050
SO-00293,2025-02-03,C0159,P004,3,47000,0,141000,84000,57000
SO-00294,2025-02-03,C0248,P003,6,140000,0.05,798000,570000,228000
SO-00295,2025-02-03,C0161,P001,5,65000,0.08,299000,210000,89000
SO-00296,2025-02-03,C0125,P007,4,98000,0,392000,280000,112000
SO-00297,2025-02-03,C0258,P004,8,47000,0.05,357200,224000,133200
SO-00298,2025-02-03,C0088,P010,6,72000,0.1,388800,288000,100800
SO-00299,2025-02-03,C0072,P005,1,180000,0,180000,120000,60000
SO-00300,2025-02-03,C0280,P010,2,72000,0.05,136800,96000,40800
SO-00301,2025-02-03,C0186,P006,1,130000,0,130000,85000,45000
SO-00302,2025-02-04,C0088,P006,11,130000,0.1,1287000,935000,352000
SO-00303,2025-02-04,C0214,P007,4,98000,0,392000,280000,112000
SO-00304,2025-02-04,C0350,P005,3,180000,0,540000,360000,180000
SO-00305,2025-02-04,C0121,P004,8,47000,0.12,330880,224000,106880
SO-00306,2025-02-04,C0243,P004,4,47000,0.08,172960,112000,60960
SO-00307,2025-02-04,C0010,P007,2,98000,0,196000,140000,56000
SO-00308,2025-02-04,C0023,P002,12,59000,0.05,672600,456000,216600
SO-00309,2025-02-04,C0182,P007,1,98000,0,98000,70000,28000
SO-00310,2025-02-04,C0380,P004,2,47000,0.05,89300,56000,33300
SO-00311,2025-02-04,C0204,P002,7,59000,0.1,371700,266000,105700
SO-00312,2025-02-04,C0297,P011,5,27000,0.03,130950,80000,50950
SO-00313,2025-02-04,C0187,P011,1,27000,0.05,25650,16000,9650
SO-00314,2025-02-04,C0186,P007,1,98000,0.05,93100,70000,23100
SO-00315,2025-02-05,C0025,P001,9,65000,0.12,514800,378000,136800
SO-00316,2025-02-05,C0080,P011,4,27000,0.05,102600,64000,38600
SO-00317,2025-02-05,C0230,P007,2,98000,0.1,176400,140000,36400
SO-00318,2025-02-05,C0120,P001,1,65000,0,65000,42000,23000
SO-00319,2025-02-05,C0090,P009,3,690000,0,2070000,1560000,510000
SO-00320,2025-02-05,C0285,P002,3,59000,0,177000,114000,63000
SO-00321,2025-02-05,C0054,P002,2,59000,0,118000,76000,42000
SO-00322,2025-02-05,C0230,P005,5,180000,0.05,855000,600000,255000
SO-00323,2025-02-05,C0109,P007,4,98000,0,392000,280000,112000
SO-00324,2025-02-05,C0288,P010,2,72000,0,144000,96000,48000
SO-00325,2025-02-05,C0205,P012,4,320000,0.03,1241600,920000,321600
SO-00326,2025-02-05,C0047,P004,4,47000,0.05,178600,112000,66600
SO-00327,2025-02-06,C0019,P005,5,180000,0,900000,600000,300000
SO-00328,2025-02-06,C0011,P001,1,65000,0.03,63050,42000,21050
SO-00329,2025-02-06,C0142,P005,4,180000,0,720000,480000,240000
SO-00330,2025-02-06,C0197,P008,4,420000,0,1680000,1240000,440000
SO-00331,2025-02-06,C0414,P012,1,320000,0.03,310400,230000,80400
SO-00332,2025-02-06,C0280,P001,1,65000,0.05,61750,42000,19750
SO-00333,2025-02-06,C0221,P001,2,65000,0,130000,84000,46000
SO-00334,2025-02-06,C0259,P005,11,180000,0.12,1742400,1320000,422400
SO-00335,2025-02-06,C0020,P010,2,72000,0,144000,96000,48000
SO-00336,2025-02-07,C0205,P004,2,47000,0.05,89300,56000,33300
SO-00337,2025-02-07,C0313,P005,1,180000,0,180000,120000,60000
SO-00338,2025-02-07,C0022,P002,2,59000,0,118000,76000,42000
SO-00339,2025-02-07,C0294,P001,10,65000,0.05,617500,420000,197500
SO-00340,2025-02-07,C0381,P012,3,320000,0.05,912000,690000,222000
SO-00341,2025-02-07,C0150,P005,3,180000,0.03,523800,360000,163800
SO-00342,2025-02-07,C0140,P010,1,72000,0.05,68400,48000,20400
SO-00343,2025-02-07,C0225,P004,13,47000,0.12,537680,364000,173680
SO-00344,2025-02-08,C0206,P011,2,27000,0,54000,32000,22000
SO-00345,2025-02-08,C0151,P004,1,47000,0,47000,28000,19000
SO-00346,2025-02-08,C0337,P010,2,72000,0.05,136800,96000,40800
SO-00347,2025-02-08,C0158,P010,8,72000,0.12,506880,384000,122880
SO-00348,2025-02-08,C0287,P010,3,72000,0,216000,144000,72000
SO-00349,2025-02-08,C0201,P012,1,320000,0,320000,230000,90000
SO-00350,2025-02-08,C0220,P011,4,27000,0.1,97200,64000,33200
SO-00351,2025-02-09,C0259,P002,11,59000,0.12,571120,418000,153120
SO-00352,2025-02-09,C0325,P010,3,72000,0.03,209520,144000,65520
SO-00353,2025-02-09,C0400,P011,7,27000,0.08,173880,112000,61880
SO-00354,2025-02-09,C0298,P002,3,59000,0,177000,114000,63000
SO-00355,2025-02-09,C0037,P008,8,420000,0.05,3192000,2480000,712000
SO-00356,2025-02-09,C0268,P011,2,27000,0.03,52380,32000,20380
SO-00357,2025-02-10,C0294,P005,3,180000,0.05,513000,360000,153000
SO-00358,2025-02-10,C0347,P004,2,47000,0,94000,56000,38000
SO-00359,2025-02-10,C0258,P006,9,130000,0.1,1053000,765000,288000
SO-00360,2025-02-10,C0410,P012,3,320000,0.1,864000,690000,174000
SO-00361,2025-02-10,C0338,P003,4,140000,0,560000,380000,180000
SO-00362,2025-02-10,C0352,P002,2,59000,0.03,114460,76000,38460
SO-00363,2025-02-10,C0387,P011,4,27000,0.05,102600,64000,38600
SO-00364,2025-02-10,C0287,P002,4,59000,0.05,224200,152000,72200
SO-00365,2025-02-10,C0057,P006,2,130000,0,260000,170000,90000
SO-00366,2025-02-10,C0119,P002,4,59000,0.12,207680,152000,55680
SO-00367,2025-02-11,C0326,P004,4,47000,0.1,169200,112000,57200
SO-00368,2025-02-11,C0223,P004,5,47000,0,235000,140000,95000
SO-00369,2025-02-11,C0268,P011,1,27000,0.03,26190,16000,10190
SO-00370,2025-02-11,C0203,P001,1,65000,0,65000,42000,23000
