IssueID,HearingID,Date,CourtID,Category,MinutesLost
TI-00117,HRG-04728,2025-07-21,CT1,Connectivity,7
TI-00118,HRG-04734,2025-07-21,CT1,Video,7
TI-00119,HRG-04740,2025-07-21,CT2,Video,31
TI-00120,HRG-04748,2025-07-21,CT3,Connectivity,19
TI-00121,HRG-04764,2025-07-22,CT1,Video,40
TI-00122,HRG-04782,2025-07-22,CT3,Connectivity,24
TI-00123,HRG-04792,2025-07-23,CT1,Audio,39
TI-00124,HRG-04795,2025-07-23,CT1,Power,32
TI-00125,HRG-04800,2025-07-23,CT1,Participant Device,19
TI-00126,HRG-04811,2025-07-23,CT2,Audio,6
TI-00127,HRG-04827,2025-07-24,CT1,Video,21
TI-00128,HRG-04837,2025-07-24,CT1,Power,33
TI-00129,HRG-04851,2025-07-24,CT2,Power,3
TI-00130,HRG-04895,2025-07-25,CT3,Participant Device,32
TI-00131,HRG-04905,2025-07-28,CT1,Power,10
TI-00132,HRG-04930,2025-07-29,CT1,Audio,8
TI-00133,HRG-04959,2025-07-30,CT1,Power,4
TI-00134,HRG-04968,2025-07-30,CT2,Connectivity,24
TI-00135,HRG-05035,2025-08-25,CT2,Video,40
TI-00136,HRG-05044,2025-08-25,CT3,Audio,13
TI-00137,HRG-05063,2025-08-26,CT2,Connectivity,4
TI-00138,HRG-05064,2025-08-26,CT3,Connectivity,29
TI-00139,HRG-05097,2025-08-27,CT2,Audio,5
TI-00140,HRG-05099,2025-08-27,CT3,Video,28
TI-00141,HRG-05127,2025-08-28,CT3,Audio,23
TI-00142,HRG-05129,2025-08-28,CT3,Audio,35
TI-00143,HRG-05155,2025-08-29,CT2,Power,9
TI-00144,HRG-05157,2025-08-29,CT3,Participant Device,28
TI-00145,HRG-05194,2025-09-01,CT3,Connectivity,37
TI-00146,HRG-05215,2025-09-02,CT3,Video,3
TI-00147,HRG-05316,2025-09-05,CT2,Connectivity,29
TI-00148,HRG-05326,2025-09-05,CT3,Video,38
TI-00149,HRG-05359,2025-09-08,CT2,Audio,8
TI-00150,HRG-05403,2025-09-09,CT3,Connectivity,40
TI-00151,HRG-05417,2025-09-10,CT1,Connectivity,30
TI-00152,HRG-05430,2025-09-10,CT3,Audio,27
TI-00153,HRG-05438,2025-09-10,CT3,Audio,40
TI-00154,HRG-05473,2025-09-11,CT3,Audio,26
TI-00155,HRG-05497,2025-09-12,CT3,Participant Device,14
TI-00156,HRG-05528,2025-09-15,CT2,Connectivity,33
TI-00157,HRG-05532,2025-09-15,CT2,Connectivity,37
TI-00158,HRG-05542,2025-09-16,CT1,Connectivity,16
TI-00159,HRG-05563,2025-09-16,CT3,Audio,21
TI-00160,HRG-05587,2025-09-17,CT1,Audio,15
TI-00161,HRG-05608,2025-09-18,CT1,Connectivity,29
TI-00162,HRG-05629,2025-09-18,CT2,Connectivity,16
TI-00163,HRG-05633,2025-09-18,CT3,Audio,9
TI-00164,HRG-05654,2025-09-19,CT1,Video,37
TI-00165,HRG-05657,2025-09-19,CT2,Video,25
TI-00166,HRG-05672,2025-09-19,CT3,Participant Device,34
TI-00167,HRG-05675,2025-09-19,CT3,Participant Device,22
TI-00168,HRG-05708,2025-09-23,CT1,Video,25
TI-00169,HRG-05756,2025-09-24,CT2,Connectivity,25
TI-00170,HRG-05757,2025-09-24,CT2,Connectivity,5
TI-00171,HRG-05781,2025-09-25,CT1,Connectivity,24
TI-00172,HRG-05866,2025-09-29,CT3,Connectivity,37
TI-00173,HRG-05922,2025-10-01,CT2,Video,34
TI-00174,HRG-05972,2025-10-03,CT1,Video,26
TI-00175,HRG-05994,2025-10-03,CT3,Audio,28
TI-00176,HRG-06067,2025-10-08,CT1,Audio,9
TI-00177,HRG-06073,2025-10-08,CT1,Participant Device,39
TI-00178,HRG-06076,2025-10-08,CT1,Video,6
TI-00179,HRG-06087,2025-10-08,CT2,Connectivity,14
TI-00180,HRG-06101,2025-10-09,CT1,Participant Device,25
TI-00181,HRG-06103,2025-10-09,CT1,Connectivity,35
TI-00182,HRG-06229,2025-10-14,CT3,Connectivity,10
TI-00183,HRG-06231,2025-10-14,CT3,Video,15
TI-00184,HRG-06242,2025-10-15,CT1,Video,11
TI-00185,HRG-06247,2025-10-15,CT1,Audio,3
TI-00186,HRG-06271,2025-10-15,CT3,Connectivity,33
TI-00187,HRG-06286,2025-10-16,CT1,Audio,36
TI-00188,HRG-06392,2025-10-21,CT2,Power,6
TI-00189,HRG-06433,2025-10-22,CT2,Connectivity,19
TI-00190,HRG-06536,2025-10-27,CT3,Connectivity,30
TI-00191,HRG-06574,2025-10-28,CT3,Connectivity,40
TI-00192,HRG-06594,2025-10-29,CT1,Audio,9
TI-00193,HRG-06602,2025-10-29,CT2,Audio,3
TI-00194,HRG-06608,2025-10-29,CT2,Audio,14
TI-00195,HRG-06609,2025-10-29,CT2,Audio,36
TI-00196,HRG-06723,2025-11-03,CT3,Audio,36
TI-00197,HRG-06724,2025-11-03,CT3,Video,21
TI-00198,HRG-06729,2025-11-03,CT3,Video,6
TI-00199,HRG-06781,2025-11-05,CT2,Connectivity,30
TI-00200,HRG-06834,2025-11-07,CT1,Participant Device,12
TI-00201,HRG-06891,2025-11-10,CT3,Participant Device,18
TI-00202,HRG-06930,2025-11-11,CT3,Power,26
TI-00203,HRG-06961,2025-11-12,CT3,Audio,22
TI-00204,HRG-06975,2025-11-13,CT1,Power,37
TI-00205,HRG-07037,2025-11-17,CT1,Participant Device,7
TI-00206,HRG-07038,2025-11-17,CT1,Audio,7
TI-00207,HRG-07065,2025-11-17,CT3,Audio,16
TI-00208,HRG-07079,2025-11-18,CT1,Participant Device,34
TI-00209,HRG-07094,2025-11-18,CT2,Connectivity,33
TI-00210,HRG-07134,2025-11-19,CT3,Connectivity,6
TI-00211,HRG-07185,2025-11-21,CT2,Audio,20
TI-00212,HRG-07219,2025-11-24,CT2,Audio,12
TI-00213,HRG-07273,2025-11-25,CT3,Connectivity,6
TI-00214,HRG-07289,2025-11-26,CT2,Video,16
TI-00215,HRG-07293,2025-11-26,CT2,Participant Device,37
TI-00216,HRG-07296,2025-11-26,CT2,Power,6
TI-00217,HRG-07297,2025-11-26,CT2,Participant Device,34
TI-00218,HRG-07302,2025-11-26,CT3,Video,26
TI-00219,HRG-07322,2025-11-27,CT2,Video,18
TI-00220,HRG-07354,2025-11-28,CT2,Participant Device,39
TI-00221,HRG-07407,2025-12-02,CT1,Connectivity,9
TI-00222,HRG-07445,2025-12-03,CT2,Connectivity,31
TI-00223,HRG-07480,2025-12-04,CT2,Participant Device,8
TI-00224,HRG-07484,2025-12-04,CT2,Participant Device,4
TI-00225,HRG-07559,2025-12-08,CT3,Participant Device,28
TI-00226,HRG-07580,2025-12-09,CT2,Participant Device,33
TI-00227,HRG-07581,2025-12-09,CT2,Connectivity,18
TI-00228,HRG-07603,2025-12-10,CT1,Connectivity,33
TI-00229,HRG-07606,2025-12-10,CT1,Audio,25
TI-00230,HRG-07620,2025-12-10,CT3,Audio,14
TI-00231,HRG-07634,2025-12-11,CT1,Power,30
TI-00232,HRG-07657,2025-12-11,CT3,Connectivity,33
TI-00233,HRG-07672,2025-12-12,CT1,Video,39
TI-00234,HRG-07736,2025-12-15,CT3,Participant Device,37
TI-00235,HRG-07741,2025-12-16,CT1,Power,25
TI-00236,HRG-07770,2025-12-17,CT1,Audio,37
TI-00237,HRG-07800,2025-12-17,CT3,Connectivity,12
TI-00238,HRG-07841,2025-12-19,CT1,Connectivity,13
TI-00239,HRG-07859,2025-12-19,CT2,Connectivity,17
TI-00240,HRG-07916,2025-12-23,CT1,Power,23
TI-00241,HRG-07941,2025-12-23,CT3,Audio,22
TI-00242,HRG-07959,2025-12-24,CT1,Connectivity,24
TI-00243,HRG-07973,2025-12-24,CT3,Audio,3
TI-00244,HRG-07977,2025-12-24,CT3,Connectivity,21
TI-00245,HRG-07983,2025-12-25,CT1,Connectivity,39
TI-00246,HRG-08029,2025-12-26,CT2,Audio,9
