HearingID,Date,CourtID,CaseType,Mode,DurationMinutes,Adjourned,TechIssue
HRG-00058,2025-01-03,CT1,Civil,In-person,55,N,N
HRG-00059,2025-01-03,CT1,Civil,In-person,66,Y,N
HRG-00060,2025-01-03,CT1,Civil,In-person,45,Y,N
HRG-00061,2025-01-03,CT1,Commercial,In-person,58,N,N
HRG-00062,2025-01-03,CT1,Commercial,In-person,32,Y,N
HRG-00063,2025-01-03,CT1,Family,In-person,67,N,N
HRG-00064,2025-01-03,CT1,Family,In-person,25,N,N
HRG-00065,2025-01-03,CT1,Criminal,In-person,36,N,N
HRG-00066,2025-01-03,CT1,Civil,In-person,28,N,N
HRG-00067,2025-01-03,CT1,Appeal,In-person,34,N,N
HRG-00068,2025-01-03,CT1,Criminal,In-person,12,Y,N
HRG-00069,2025-01-03,CT2,Civil,In-person,46,N,N
HRG-00070,2025-01-03,CT2,Family,In-person,65,N,N
HRG-00071,2025-01-03,CT2,Family,In-person,47,N,N
HRG-00072,2025-01-03,CT2,Criminal,In-person,46,N,N
HRG-00073,2025-01-03,CT2,Commercial,In-person,53,Y,N
HRG-00074,2025-01-03,CT2,Civil,In-person,52,N,N
HRG-00075,2025-01-03,CT2,Criminal,In-person,55,N,N
HRG-00076,2025-01-03,CT2,Civil,In-person,58,Y,N
HRG-00077,2025-01-03,CT2,Civil,In-person,51,N,N
HRG-00078,2025-01-03,CT2,Criminal,In-person,57,N,N
HRG-00079,2025-01-03,CT2,Commercial,In-person,56,N,N
HRG-00080,2025-01-03,CT2,Civil,In-person,58,N,N
HRG-00081,2025-01-03,CT3,Civil,In-person,55,N,N
HRG-00082,2025-01-03,CT3,Commercial,In-person,42,Y,N
HRG-00083,2025-01-03,CT3,Appeal,In-person,39,N,N
HRG-00084,2025-01-03,CT3,Family,In-person,39,N,N
HRG-00085,2025-01-03,CT3,Criminal,In-person,59,N,N
HRG-00086,2025-01-03,CT3,Commercial,In-person,56,N,N
HRG-00087,2025-01-03,CT3,Civil,In-person,54,Y,N
HRG-00088,2025-01-03,CT3,Family,In-person,62,N,N
HRG-00089,2025-01-03,CT3,Civil,In-person,52,Y,N
HRG-00090,2025-01-03,CT3,Civil,In-person,57,N,N
HRG-00091,2025-01-03,CT3,Commercial,In-person,53,Y,N
HRG-00092,2025-01-06,CT1,Criminal,In-person,30,N,N
HRG-00093,2025-01-06,CT1,Civil,In-person,37,N,N
HRG-00094,2025-01-06,CT1,Civil,In-person,49,N,N
HRG-00095,2025-01-06,CT1,Criminal,In-person,51,N,N
HRG-00096,2025-01-06,CT1,Family,In-person,34,N,N
HRG-00097,2025-01-06,CT1,Criminal,In-person,78,N,N
HRG-00098,2025-01-06,CT1,Civil,In-person,39,N,N
HRG-00099,2025-01-06,CT1,Commercial,In-person,31,N,N
HRG-00100,2025-01-06,CT1,Civil,Virtual,45,N,N
HRG-00101,2025-01-06,CT1,Appeal,In-person,41,N,N
HRG-00102,2025-01-06,CT1,Civil,In-person,83,Y,N
HRG-00103,2025-01-06,CT1,Commercial,In-person,57,N,N
HRG-00104,2025-01-06,CT1,Commercial,In-person,44,N,N
HRG-00105,2025-01-06,CT1,Commercial,In-person,36,N,N
HRG-00106,2025-01-06,CT2,Civil,In-person,37,N,N
HRG-00107,2025-01-06,CT2,Civil,In-person,35,N,N
HRG-00108,2025-01-06,CT2,Criminal,In-person,35,N,N
HRG-00109,2025-01-06,CT2,Civil,In-person,53,N,N
HRG-00110,2025-01-06,CT2,Appeal,In-person,69,N,N
HRG-00111,2025-01-06,CT2,Civil,In-person,50,N,N
HRG-00112,2025-01-06,CT2,Civil,In-person,59,N,N
HRG-00113,2025-01-06,CT2,Commercial,In-person,49,Y,N
HRG-00114,2025-01-06,CT2,Criminal,In-person,39,N,N
HRG-00115,2025-01-06,CT2,Family,In-person,57,N,N
HRG-00116,2025-01-06,CT2,Criminal,In-person,33,N,N
HRG-00117,2025-01-06,CT3,Family,In-person,42,N,N
HRG-00118,2025-01-06,CT3,Civil,In-person,30,N,N
HRG-00119,2025-01-06,CT3,Civil,In-person,47,Y,N
HRG-00120,2025-01-06,CT3,Appeal,In-person,76,Y,N
HRG-00121,2025-01-06,CT3,Family,In-person,62,N,N
HRG-00122,2025-01-06,CT3,Family,In-person,34,N,N
HRG-00123,2025-01-06,CT3,Civil,In-person,64,N,N
HRG-00124,2025-01-06,CT3,Civil,In-person,41,Y,N
HRG-00125,2025-01-06,CT3,Commercial,In-person,25,Y,N
HRG-00126,2025-01-06,CT3,Civil,In-person,56,N,N
HRG-00127,2025-01-07,CT1,Criminal,In-person,38,Y,N
HRG-00128,2025-01-07,CT1,Criminal,In-person,44,Y,N
HRG-00129,2025-01-07,CT1,Family,In-person,30,N,N
HRG-00130,2025-01-07,CT1,Civil,In-person,57,N,N
HRG-00131,2025-01-07,CT1,Civil,In-person,49,N,N
HRG-00132,2025-01-07,CT1,Civil,In-person,67,N,N
HRG-00133,2025-01-07,CT1,Civil,In-person,47,N,N
HRG-00134,2025-01-07,CT1,Civil,In-person,56,N,N
HRG-00135,2025-01-07,CT1,Commercial,In-person,14,N,N
HRG-00136,2025-01-07,CT1,Civil,In-person,28,N,N
HRG-00137,2025-01-07,CT2,Commercial,In-person,51,N,N
HRG-00138,2025-01-07,CT2,Criminal,In-person,58,N,N
HRG-00139,2025-01-07,CT2,Commercial,In-person,35,Y,N
HRG-00140,2025-01-07,CT2,Commercial,In-person,31,Y,N
HRG-00141,2025-01-07,CT2,Criminal,In-person,62,N,N
HRG-00142,2025-01-07,CT2,Criminal,In-person,56,Y,N
HRG-00143,2025-01-07,CT2,Criminal,In-person,49,N,N
HRG-00144,2025-01-07,CT2,Commercial,In-person,30,N,N
HRG-00145,2025-01-07,CT3,Commercial,In-person,42,N,N
HRG-00146,2025-01-07,CT3,Civil,In-person,55,N,N
HRG-00147,2025-01-07,CT3,Commercial,In-person,27,Y,N
HRG-00148,2025-01-07,CT3,Civil,In-person,38,N,N
HRG-00149,2025-01-07,CT3,Civil,In-person,50,N,N
HRG-00150,2025-01-07,CT3,Criminal,In-person,57,N,N
HRG-00151,2025-01-07,CT3,Criminal,In-person,37,N,N
HRG-00152,2025-01-07,CT3,Civil,In-person,56,Y,N
HRG-00153,2025-01-07,CT3,Criminal,Virtual,15,N,Y
HRG-00154,2025-01-07,CT3,Civil,In-person,66,N,N
HRG-00155,2025-01-07,CT3,Criminal,In-person,70,N,N
HRG-00156,2025-01-07,CT3,Criminal,In-person,61,N,N
HRG-00157,2025-01-08,CT1,Criminal,In-person,64,Y,N
HRG-00158,2025-01-08,CT1,Civil,In-person,36,N,N
HRG-00159,2025-01-08,CT1,Civil,In-person,50,N,N
HRG-00160,2025-01-08,CT1,Criminal,In-person,44,Y,N
HRG-00161,2025-01-08,CT1,Civil,In-person,74,N,N
HRG-00162,2025-01-08,CT1,Civil,In-person,61,N,N
HRG-00163,2025-01-08,CT1,Commercial,In-person,53,N,N
HRG-00164,2025-01-08,CT1,Civil,In-person,28,N,N
HRG-00165,2025-01-08,CT1,Civil,In-person,36,N,N
HRG-00166,2025-01-08,CT1,Criminal,In-person,56,N,N
HRG-00167,2025-01-08,CT1,Criminal,In-person,68,N,N
HRG-00168,2025-01-08,CT1,Criminal,In-person,38,N,N
HRG-00169,2025-01-08,CT1,Criminal,In-person,49,N,N
HRG-00170,2025-01-08,CT1,Civil,In-person,68,N,N
HRG-00171,2025-01-08,CT1,Criminal,In-person,66,Y,N
HRG-00172,2025-01-08,CT2,Commercial,In-person,50,Y,N
HRG-00173,2025-01-08,CT2,Criminal,In-person,48,N,N
HRG-00174,2025-01-08,CT2,Civil,In-person,31,N,N
HRG-00175,2025-01-08,CT2,Commercial,Virtual,45,N,N
HRG-00176,2025-01-08,CT2,Family,In-person,55,N,N
HRG-00177,2025-01-08,CT2,Criminal,In-person,40,N,N
HRG-00178,2025-01-08,CT2,Family,In-person,24,N,N
HRG-00179,2025-01-08,CT2,Commercial,In-person,50,N,N
HRG-00180,2025-01-08,CT2,Commercial,In-person,70,Y,N
HRG-00181,2025-01-08,CT2,Civil,In-person,52,Y,N
HRG-00182,2025-01-08,CT3,Civil,In-person,19,N,N
HRG-00183,2025-01-08,CT3,Civil,In-person,72,N,N
HRG-00184,2025-01-08,CT3,Criminal,In-person,53,N,N
HRG-00185,2025-01-08,CT3,Criminal,In-person,27,Y,N
HRG-00186,2025-01-08,CT3,Commercial,In-person,72,N,N
HRG-00187,2025-01-08,CT3,Criminal,In-person,32,Y,N
HRG-00188,2025-01-08,CT3,Civil,In-person,56,Y,N
HRG-00189,2025-01-08,CT3,Criminal,In-person,77,Y,N
HRG-00190,2025-01-08,CT3,Criminal,In-person,50,N,N
HRG-00191,2025-01-08,CT3,Family,In-person,35,N,N
HRG-00192,2025-01-09,CT1,Commercial,In-person,71,Y,N
HRG-00193,2025-01-09,CT1,Appeal,In-person,42,Y,N
HRG-00194,2025-01-09,CT1,Criminal,In-person,29,N,N
HRG-00195,2025-01-09,CT1,Family,In-person,76,N,N
HRG-00196,2025-01-09,CT1,Appeal,In-person,29,Y,N
HRG-00197,2025-01-09,CT1,Civil,In-person,31,N,N
HRG-00198,2025-01-09,CT1,Civil,In-person,39,N,N
HRG-00199,2025-01-09,CT1,Commercial,In-person,37,N,N
HRG-00200,2025-01-09,CT1,Family,In-person,56,N,N
HRG-00201,2025-01-09,CT1,Civil,In-person,27,Y,N
HRG-00202,2025-01-09,CT1,Criminal,In-person,10,Y,N
HRG-00203,2025-01-09,CT1,Commercial,In-person,57,N,N
HRG-00204,2025-01-09,CT1,Family,In-person,41,N,N
HRG-00205,2025-01-09,CT2,Commercial,In-person,71,N,N
HRG-00206,2025-01-09,CT2,Commercial,In-person,28,Y,N
HRG-00207,2025-01-09,CT2,Appeal,In-person,56,N,N
HRG-00208,2025-01-09,CT2,Commercial,In-person,56,N,N
HRG-00209,2025-01-09,CT2,Criminal,In-person,68,N,N
HRG-00210,2025-01-09,CT2,Appeal,In-person,51,N,N
HRG-00211,2025-01-09,CT2,Criminal,In-person,57,N,N
HRG-00212,2025-01-09,CT2,Commercial,In-person,20,N,N
HRG-00213,2025-01-09,CT3,Civil,In-person,45,N,N
HRG-00214,2025-01-09,CT3,Criminal,In-person,44,N,N
HRG-00215,2025-01-09,CT3,Civil,In-person,26,N,N
HRG-00216,2025-01-09,CT3,Criminal,Virtual,33,N,N
HRG-00217,2025-01-09,CT3,Commercial,In-person,65,N,N
HRG-00218,2025-01-09,CT3,Family,In-person,35,N,N
HRG-00219,2025-01-09,CT3,Family,In-person,61,N,N
HRG-00220,2025-01-09,CT3,Appeal,In-person,39,N,N
HRG-00221,2025-01-09,CT3,Commercial,In-person,39,N,N
HRG-00222,2025-01-09,CT3,Civil,In-person,47,Y,N
HRG-00223,2025-01-09,CT3,Criminal,In-person,34,Y,N
HRG-00224,2025-01-09,CT3,Civil,In-person,61,Y,N
HRG-00225,2025-01-10,CT1,Commercial,In-person,57,N,N
HRG-00226,2025-01-10,CT1,Criminal,In-person,31,N,N
HRG-00227,2025-01-10,CT1,Civil,In-person,30,Y,N
HRG-00228,2025-01-10,CT1,Criminal,In-person,45,N,N
HRG-00229,2025-01-10,CT1,Civil,In-person,57,N,N
HRG-00230,2025-01-10,CT1,Criminal,In-person,52,N,N
HRG-00231,2025-01-10,CT1,Appeal,In-person,37,Y,N
HRG-00232,2025-01-10,CT1,Civil,In-person,42,N,N
HRG-00233,2025-01-10,CT1,Criminal,In-person,54,N,N
HRG-00234,2025-01-10,CT1,Civil,In-person,26,N,N
HRG-00235,2025-01-10,CT1,Criminal,In-person,64,N,N
HRG-00236,2025-01-10,CT1,Commercial,In-person,62,N,N
HRG-00237,2025-01-10,CT1,Criminal,In-person,64,N,N
HRG-00238,2025-01-10,CT1,Criminal,In-person,36,Y,N
HRG-00239,2025-01-10,CT2,Family,In-person,53,N,N
HRG-00240,2025-01-10,CT2,Criminal,In-person,46,Y,N
HRG-00241,2025-01-10,CT2,Criminal,In-person,66,N,N
HRG-00242,2025-01-10,CT2,Appeal,In-person,33,N,N
HRG-00243,2025-01-10,CT2,Civil,In-person,49,N,N
HRG-00244,2025-01-10,CT2,Criminal,In-person,39,N,N
HRG-00245,2025-01-10,CT2,Family,In-person,50,Y,N
HRG-00246,2025-01-10,CT2,Commercial,In-person,45,N,N
HRG-00247,2025-01-10,CT2,Family,In-person,64,N,N
HRG-00248,2025-01-10,CT3,Family,In-person,49,N,N
HRG-00249,2025-01-10,CT3,Criminal,In-person,60,N,N
HRG-00250,2025-01-10,CT3,Family,In-person,63,Y,N
HRG-00251,2025-01-10,CT3,Civil,In-person,43,N,N
HRG-00252,2025-01-10,CT3,Appeal,In-person,27,N,N
HRG-00253,2025-01-10,CT3,Criminal,In-person,10,N,N
HRG-00254,2025-01-10,CT3,Criminal,In-person,61,Y,N
HRG-00255,2025-01-10,CT3,Civil,In-person,24,Y,N
HRG-00256,2025-01-10,CT3,Commercial,In-person,51,N,N
HRG-00257,2025-01-10,CT3,Appeal,In-person,63,N,N
HRG-00258,2025-01-13,CT1,Civil,In-person,46,N,N
HRG-00259,2025-01-13,CT1,Civil,In-person,25,Y,N
HRG-00260,2025-01-13,CT1,Commercial,In-person,65,N,N
HRG-00261,2025-01-13,CT1,Criminal,In-person,47,Y,N
HRG-00262,2025-01-13,CT1,Family,In-person,53,N,N
HRG-00263,2025-01-13,CT1,Civil,In-person,41,Y,N
HRG-00264,2025-01-13,CT1,Civil,In-person,39,N,N
HRG-00265,2025-01-13,CT1,Civil,In-person,53,N,N
HRG-00266,2025-01-13,CT1,Appeal,In-person,35,Y,N
HRG-00267,2025-01-13,CT1,Civil,In-person,26,Y,N
HRG-00268,2025-01-13,CT1,Civil,In-person,39,N,N
HRG-00269,2025-01-13,CT1,Criminal,In-person,43,Y,N
HRG-00270,2025-01-13,CT1,Commercial,In-person,29,N,N
HRG-00271,2025-01-13,CT1,Commercial,In-person,37,Y,N
HRG-00272,2025-01-13,CT1,Appeal,In-person,42,Y,N
HRG-00273,2025-01-13,CT1,Commercial,In-person,54,N,N
HRG-00274,2025-01-13,CT1,Civil,In-person,54,N,N
HRG-00275,2025-01-13,CT2,Family,In-person,65,N,N
HRG-00276,2025-01-13,CT2,Family,In-person,48,N,N
HRG-00277,2025-01-13,CT2,Appeal,In-person,23,N,N
HRG-00278,2025-01-13,CT2,Criminal,In-person,68,N,N
HRG-00279,2025-01-13,CT2,Civil,In-person,49,N,N
HRG-00280,2025-01-13,CT2,Civil,In-person,66,N,N
HRG-00281,2025-01-13,CT2,Family,In-person,31,N,N
HRG-00282,2025-01-13,CT2,Commercial,In-person,59,N,N
HRG-00283,2025-01-13,CT2,Civil,In-person,30,N,N
HRG-00284,2025-01-13,CT3,Criminal,In-person,32,N,N
HRG-00285,2025-01-13,CT3,Appeal,In-person,68,N,N
HRG-00286,2025-01-13,CT3,Criminal,Virtual,30,N,N
HRG-00287,2025-01-13,CT3,Family,In-person,46,N,N
HRG-00288,2025-01-13,CT3,Civil,In-person,51,N,N
HRG-00289,2025-01-13,CT3,Criminal,In-person,59,Y,N
HRG-00290,2025-01-13,CT3,Civil,In-person,45,N,N
HRG-00291,2025-01-13,CT3,Commercial,In-person,31,N,N
HRG-00292,2025-01-13,CT3,Civil,In-person,52,N,N
HRG-00293,2025-01-13,CT3,Civil,In-person,60,N,N
HRG-00294,2025-01-13,CT3,Family,In-person,63,N,N
HRG-00295,2025-01-13,CT3,Civil,In-person,42,Y,N
HRG-00296,2025-01-13,CT3,Criminal,In-person,33,Y,N
HRG-00297,2025-01-14,CT1,Civil,In-person,50,N,N
HRG-00298,2025-01-14,CT1,Civil,In-person,37,N,N
HRG-00299,2025-01-14,CT1,Criminal,In-person,52,Y,N
HRG-00300,2025-01-14,CT1,Appeal,In-person,47,N,N
HRG-00301,2025-01-14,CT1,Civil,Virtual,33,Y,N
HRG-00302,2025-01-14,CT1,Civil,In-person,33,N,N
HRG-00303,2025-01-14,CT1,Appeal,In-person,60,N,N
HRG-00304,2025-01-14,CT1,Criminal,In-person,53,Y,N
HRG-00305,2025-01-14,CT1,Civil,In-person,29,Y,N
HRG-00306,2025-01-14,CT2,Commercial,In-person,39,N,N
HRG-00307,2025-01-14,CT2,Civil,In-person,29,N,N
HRG-00308,2025-01-14,CT2,Commercial,In-person,52,N,N
HRG-00309,2025-01-14,CT2,Civil,In-person,29,N,N
HRG-00310,2025-01-14,CT2,Commercial,Virtual,46,N,N
HRG-00311,2025-01-14,CT2,Criminal,In-person,45,N,N
HRG-00312,2025-01-14,CT2,Family,In-person,68,N,N
HRG-00313,2025-01-14,CT3,Civil,In-person,34,N,N
HRG-00314,2025-01-14,CT3,Criminal,In-person,29,N,N
HRG-00315,2025-01-14,CT3,Family,In-person,49,N,N
HRG-00316,2025-01-14,CT3,Commercial,In-person,34,N,N
HRG-00317,2025-01-14,CT3,Criminal,In-person,44,N,N
HRG-00318,2025-01-14,CT3,Civil,In-person,57,N,N
HRG-00319,2025-01-14,CT3,Civil,In-person,29,N,N
HRG-00320,2025-01-14,CT3,Civil,In-person,37,N,N
HRG-00321,2025-01-14,CT3,Criminal,In-person,16,N,N
HRG-00322,2025-01-14,CT3,Family,In-person,51,N,N
HRG-00323,2025-01-14,CT3,Civil,In-person,46,N,N
HRG-00324,2025-01-15,CT1,Family,In-person,53,N,N
HRG-00325,2025-01-15,CT1,Civil,In-person,50,N,N
HRG-00326,2025-01-15,CT1,Commercial,In-person,52,N,N
HRG-00327,2025-01-15,CT1,Civil,In-person,28,N,N
HRG-00328,2025-01-15,CT1,Criminal,In-person,23,N,N
HRG-00329,2025-01-15,CT1,Criminal,Virtual,50,N,N
HRG-00330,2025-01-15,CT1,Criminal,In-person,43,Y,N
HRG-00331,2025-01-15,CT1,Family,In-person,55,N,N
HRG-00332,2025-01-15,CT1,Criminal,In-person,48,N,N
HRG-00333,2025-01-15,CT1,Civil,In-person,43,N,N
HRG-00334,2025-01-15,CT1,Commercial,In-person,52,N,N
HRG-00335,2025-01-15,CT1,Family,In-person,38,Y,N
HRG-00336,2025-01-15,CT1,Commercial,In-person,35,N,N
HRG-00337,2025-01-15,CT1,Civil,In-person,29,N,N
HRG-00338,2025-01-15,CT1,Civil,In-person,50,N,N
HRG-00339,2025-01-15,CT1,Civil,In-person,50,N,N
HRG-00340,2025-01-15,CT1,Civil,In-person,49,Y,N
HRG-00341,2025-01-15,CT1,Civil,In-person,78,N,N
HRG-00342,2025-01-15,CT2,Civil,In-person,38,Y,N
HRG-00343,2025-01-15,CT2,Criminal,In-person,46,N,N
HRG-00344,2025-01-15,CT2,Civil,In-person,20,N,N
HRG-00345,2025-01-15,CT2,Commercial,In-person,38,Y,N
HRG-00346,2025-01-15,CT2,Commercial,In-person,70,N,N
HRG-00347,2025-01-15,CT2,Civil,In-person,64,Y,N
HRG-00348,2025-01-15,CT2,Criminal,In-person,68,N,N
HRG-00349,2025-01-15,CT2,Civil,In-person,49,N,N
HRG-00350,2025-01-15,CT2,Appeal,In-person,45,N,N
HRG-00351,2025-01-15,CT3,Criminal,In-person,47,Y,N
HRG-00352,2025-01-15,CT3,Civil,In-person,20,N,N
HRG-00353,2025-01-15,CT3,Criminal,In-person,76,N,N
HRG-00354,2025-01-15,CT3,Civil,In-person,46,N,N
HRG-00355,2025-01-15,CT3,Criminal,In-person,72,N,N
HRG-00356,2025-01-15,CT3,Civil,In-person,58,N,N
HRG-00357,2025-01-15,CT3,Family,In-person,37,N,N
HRG-00358,2025-01-15,CT3,Criminal,In-person,39,Y,N
HRG-00359,2025-01-15,CT3,Family,In-person,52,N,N
HRG-00360,2025-01-15,CT3,Appeal,In-person,56,N,N
HRG-00361,2025-01-15,CT3,Civil,In-person,78,N,N
HRG-00362,2025-01-16,CT1,Civil,In-person,78,N,N
HRG-00363,2025-01-16,CT1,Criminal,Virtual,48,Y,Y
HRG-00364,2025-01-16,CT1,Family,In-person,45,N,N
HRG-00365,2025-01-16,CT1,Civil,In-person,53,N,N
HRG-00366,2025-01-16,CT1,Criminal,In-person,74,N,N
HRG-00367,2025-01-16,CT1,Civil,In-person,25,N,N
HRG-00368,2025-01-16,CT1,Commercial,In-person,44,N,N
HRG-00369,2025-01-16,CT1,Criminal,In-person,20,Y,N
HRG-00370,2025-01-16,CT1,Family,In-person,74,N,N
HRG-00371,2025-01-16,CT1,Civil,In-person,71,Y,N
HRG-00372,2025-01-16,CT1,Criminal,In-person,51,N,N
HRG-00373,2025-01-16,CT1,Family,In-person,69,N,N
HRG-00374,2025-01-16,CT1,Civil,In-person,27,N,N
HRG-00375,2025-01-16,CT2,Civil,In-person,47,Y,N
HRG-00376,2025-01-16,CT2,Commercial,In-person,35,Y,N
HRG-00377,2025-01-16,CT2,Civil,In-person,40,N,N
HRG-00378,2025-01-16,CT2,Civil,In-person,34,N,N
HRG-00379,2025-01-16,CT2,Civil,In-person,59,N,N
HRG-00380,2025-01-16,CT2,Commercial,In-person,75,N,N
HRG-00381,2025-01-16,CT2,Civil,In-person,29,N,N
HRG-00382,2025-01-16,CT2,Civil,In-person,23,N,N
HRG-00383,2025-01-16,CT2,Commercial,In-person,52,N,N
HRG-00384,2025-01-16,CT2,Civil,In-person,37,N,N
HRG-00385,2025-01-16,CT3,Civil,In-person,67,N,N
HRG-00386,2025-01-16,CT3,Civil,In-person,40,N,N
HRG-00387,2025-01-16,CT3,Criminal,In-person,66,N,N
HRG-00388,2025-01-16,CT3,Civil,In-person,60,N,N
HRG-00389,2025-01-16,CT3,Criminal,In-person,59,N,N
HRG-00390,2025-01-16,CT3,Family,In-person,42,N,N
HRG-00391,2025-01-16,CT3,Family,In-person,64,N,N
HRG-00392,2025-01-16,CT3,Civil,In-person,52,Y,N
HRG-00393,2025-01-16,CT3,Appeal,In-person,42,N,N
HRG-00394,2025-01-16,CT3,Family,In-person,60,N,N
HRG-00395,2025-01-16,CT3,Commercial,In-person,38,N,N
HRG-00396,2025-01-17,CT1,Commercial,In-person,73,Y,N
HRG-00397,2025-01-17,CT1,Civil,In-person,57,Y,N
HRG-00398,2025-01-17,CT1,Commercial,In-person,63,N,N
HRG-00399,2025-01-17,CT1,Appeal,In-person,31,N,N
HRG-00400,2025-01-17,CT1,Criminal,In-person,61,N,N
HRG-00401,2025-01-17,CT1,Criminal,In-person,66,N,N
HRG-00402,2025-01-17,CT1,Civil,In-person,57,Y,N
HRG-00403,2025-01-17,CT1,Civil,In-person,36,Y,N
HRG-00404,2025-01-17,CT1,Commercial,In-person,45,N,N
HRG-00405,2025-01-17,CT1,Civil,In-person,61,N,N
HRG-00406,2025-01-17,CT1,Commercial,In-person,37,N,N
HRG-00407,2025-01-17,CT1,Civil,In-person,39,N,N
HRG-00408,2025-01-17,CT1,Civil,In-person,65,N,N
HRG-00409,2025-01-17,CT1,Civil,In-person,52,Y,N
HRG-00410,2025-01-17,CT1,Criminal,In-person,43,N,N
HRG-00411,2025-01-17,CT2,Criminal,In-person,52,N,N
HRG-00412,2025-01-17,CT2,Civil,In-person,39,N,N
HRG-00413,2025-01-17,CT2,Criminal,In-person,35,N,N
HRG-00414,2025-01-17,CT2,Commercial,In-person,10,N,N
HRG-00415,2025-01-17,CT2,Family,In-person,60,N,N
HRG-00416,2025-01-17,CT2,Commercial,In-person,36,N,N
HRG-00417,2025-01-17,CT2,Civil,In-person,10,Y,N
HRG-00418,2025-01-17,CT2,Criminal,In-person,27,Y,N
HRG-00419,2025-01-17,CT2,Criminal,In-person,58,N,N
HRG-00420,2025-01-17,CT2,Civil,In-person,70,N,N
HRG-00421,2025-01-17,CT2,Criminal,In-person,60,Y,N
HRG-00422,2025-01-17,CT3,Civil,In-person,66,Y,N
HRG-00423,2025-01-17,CT3,Civil,Hybrid,46,N,N
HRG-00424,2025-01-17,CT3,Criminal,In-person,26,N,N
HRG-00425,2025-01-17,CT3,Civil,In-person,32,Y,N
