ShipmentID,ShipDate,DeliveredDate,RouteID,Carrier,WeightKg,PromisedDays,ActualDays,OnTime,FreightCostNGN
SHP-2025-00076,2025-01-10,2025-01-12,R10,Fleet A,2164,2,2,Y,691891
SHP-2025-00077,2025-01-10,2025-01-11,R07,Fleet B,3659,1,1,Y,559586
SHP-2025-00078,2025-01-11,2025-01-13,R10,Fleet B,402,2,2,Y,150836
SHP-2025-00079,2025-01-11,2025-01-12,R05,Fleet A,279,1,1,Y,90601
SHP-2025-00080,2025-01-11,2025-01-13,R04,Fleet B,923,2,2,Y,341927
SHP-2025-00081,2025-01-11,2025-01-12,R07,Partner Haulage,551,1,1,Y,98799
SHP-2025-00082,2025-01-11,2025-01-12,R03,Fleet B,2113,1,1,Y,194117
SHP-2025-00083,2025-01-11,2025-01-12,R08,Fleet A,3093,1,1,Y,730862
SHP-2025-00084,2025-01-11,2025-01-12,R07,Fleet B,2142,1,1,Y,342085
SHP-2025-00085,2025-01-11,2025-01-17,R09,Partner Haulage,2119,3,6,N,1310591
SHP-2025-00086,2025-01-11,2025-01-16,R02,Fleet B,2553,2,5,N,819299
SHP-2025-00087,2025-01-12,2025-01-13,R06,Fleet A,3674,1,1,Y,237918
SHP-2025-00088,2025-01-12,2025-01-13,R03,Fleet A,50,1,1,Y,19418
SHP-2025-00089,2025-01-12,2025-01-13,R07,Partner Haulage,2961,1,1,Y,450963
SHP-2025-00090,2025-01-12,2025-01-13,R08,Fleet A,50,1,1,Y,25948
SHP-2025-00091,2025-01-12,2025-01-14,R10,Fleet A,1959,2,2,Y,672801
SHP-2025-00092,2025-01-12,2025-01-13,R06,Partner Haulage,979,1,1,Y,71821
SHP-2025-00093,2025-01-12,2025-01-14,R04,Fleet B,3333,2,2,Y,1181071
SHP-2025-00094,2025-01-12,2025-01-14,R01,Fleet B,3145,2,2,Y,1395974
SHP-2025-00095,2025-01-12,2025-01-13,R03,Fleet A,1042,1,1,Y,107840
SHP-2025-00096,2025-01-12,2025-01-13,R05,Partner Haulage,1558,1,1,Y,454210
SHP-2025-00097,2025-01-13,2025-01-14,R03,Fleet A,1431,1,1,Y,147411
SHP-2025-00098,2025-01-13,2025-01-14,R06,Fleet B,415,1,1,Y,37260
SHP-2025-00099,2025-01-13,2025-01-14,R06,Fleet A,1382,1,1,Y,96845
SHP-2025-00100,2025-01-13,2025-01-14,R08,Fleet B,1578,1,1,Y,364226
SHP-2025-00101,2025-01-13,2025-01-15,R10,Fleet B,1229,2,2,Y,421035
SHP-2025-00102,2025-01-13,2025-01-16,R09,Fleet A,1546,3,3,Y,1015820
SHP-2025-00103,2025-01-13,2025-01-14,R08,Fleet A,790,1,1,Y,199612
SHP-2025-00104,2025-01-13,2025-01-14,R06,Fleet B,2513,1,1,Y,154706
SHP-2025-00105,2025-01-13,2025-01-17,R08,Fleet B,2759,1,4,N,670201
SHP-2025-00106,2025-01-13,2025-01-15,R02,Fleet B,1503,2,2,Y,511061
SHP-2025-00107,2025-01-14,2025-01-16,R10,Fleet B,1070,2,2,Y,357196
SHP-2025-00108,2025-01-14,2025-01-15,R08,Partner Haulage,2184,1,1,Y,473125
SHP-2025-00109,2025-01-14,2025-01-16,R02,Fleet A,1717,2,2,Y,635341
SHP-2025-00110,2025-01-14,2025-01-15,R08,Fleet A,1659,1,1,Y,358675
SHP-2025-00111,2025-01-14,2025-01-18,R09,Fleet A,906,3,4,N,645230
SHP-2025-00112,2025-01-14,2025-01-16,R01,Fleet B,1024,2,2,Y,469418
SHP-2025-00113,2025-01-14,2025-01-15,R08,Fleet A,3490,1,1,Y,722868
SHP-2025-00114,2025-01-14,2025-01-16,R01,Fleet B,1261,2,2,Y,519617
SHP-2025-00115,2025-01-14,2025-01-16,R01,Fleet B,2954,2,2,Y,1236537
SHP-2025-00116,2025-01-15,2025-01-17,R01,Fleet A,1223,2,2,Y,493574
SHP-2025-00117,2025-01-15,2025-01-16,R07,Fleet B,2011,1,1,Y,329661
SHP-2025-00118,2025-01-15,2025-01-17,R04,Fleet A,2089,2,2,Y,797559
SHP-2025-00119,2025-01-15,2025-01-16,R06,Fleet B,1748,1,1,Y,112838
SHP-2025-00120,2025-01-15,2025-01-16,R06,Fleet B,2877,1,1,Y,184879
SHP-2025-00121,2025-01-15,2025-01-17,R10,Fleet B,338,2,2,Y,136561
SHP-2025-00122,2025-01-15,2025-01-17,R04,Partner Haulage,698,2,2,Y,274185
SHP-2025-00123,2025-01-15,2025-01-18,R06,Fleet B,1078,1,3,N,75241
SHP-2025-00124,2025-01-16,2025-01-17,R05,Fleet A,1087,1,1,Y,335760
SHP-2025-00125,2025-01-16,2025-01-17,R08,Fleet A,1472,1,1,Y,357620
SHP-2025-00126,2025-01-16,2025-01-17,R08,Fleet B,2477,1,1,Y,553905
SHP-2025-00127,2025-01-16,2025-01-17,R08,Fleet B,1686,1,1,Y,373584
SHP-2025-00128,2025-01-16,2025-01-17,R03,Fleet A,3471,1,1,Y,298219
SHP-2025-00129,2025-01-16,2025-01-18,R07,Fleet B,2430,1,2,N,440647
SHP-2025-00130,2025-01-16,2025-01-18,R01,Fleet B,1397,2,2,Y,589315
SHP-2025-00131,2025-01-16,2025-01-18,R02,Partner Haulage,2803,2,2,Y,902810
SHP-2025-00132,2025-01-16,2025-01-17,R03,Fleet B,232,1,1,Y,34420
SHP-2025-00133,2025-01-17,2025-01-18,R05,Fleet A,2266,1,1,Y,595549
SHP-2025-00134,2025-01-17,2025-01-19,R01,Fleet B,3514,2,2,Y,1542688
SHP-2025-00135,2025-01-17,2025-01-19,R01,Fleet A,1175,2,2,Y,506610
SHP-2025-00136,2025-01-17,2025-01-19,R02,Fleet A,2014,2,2,Y,696475
SHP-2025-00137,2025-01-17,2025-01-18,R03,Fleet A,3350,1,1,Y,334352
SHP-2025-00138,2025-01-17,2025-01-18,R08,Fleet B,1361,1,1,Y,339528
SHP-2025-00139,2025-01-17,2025-01-22,R02,Fleet A,2550,2,5,N,923776
SHP-2025-00140,2025-01-17,2025-01-18,R08,Partner Haulage,1516,1,1,Y,351404
SHP-2025-00141,2025-01-17,2025-01-18,R07,Fleet B,2119,1,1,Y,316661
SHP-2025-00142,2025-01-18,2025-01-24,R09,Fleet B,2155,3,6,N,1518434
SHP-2025-00143,2025-01-18,2025-01-20,R02,Fleet B,1649,2,2,Y,639503
SHP-2025-00144,2025-01-18,2025-01-19,R06,Fleet A,1307,1,1,Y,92770
SHP-2025-00145,2025-01-18,2025-01-20,R10,Fleet B,353,2,2,Y,135028
SHP-2025-00146,2025-01-18,2025-01-19,R08,Fleet A,1748,1,1,Y,407361
SHP-2025-00147,2025-01-18,2025-01-19,R07,Partner Haulage,819,1,1,Y,144666
SHP-2025-00148,2025-01-18,2025-01-19,R06,Partner Haulage,50,1,1,Y,17750
SHP-2025-00149,2025-01-18,2025-01-19,R03,Partner Haulage,1881,1,1,Y,194615
SHP-2025-00150,2025-01-18,2025-01-20,R01,Partner Haulage,1436,2,2,Y,663586
SHP-2025-00151,2025-01-18,2025-01-20,R01,Fleet A,1217,2,2,Y,494239
SHP-2025-00152,2025-01-19,2025-01-20,R03,Fleet A,1189,1,1,Y,126891
SHP-2025-00153,2025-01-19,2025-01-20,R07,Fleet B,2071,1,1,Y,326043
SHP-2025-00154,2025-01-19,2025-01-20,R08,Fleet A,1646,1,1,Y,417160
SHP-2025-00155,2025-01-19,2025-01-20,R05,Fleet A,2463,1,1,Y,653668
SHP-2025-00156,2025-01-20,2025-01-21,R03,Fleet B,2233,1,1,Y,192324
SHP-2025-00157,2025-01-20,2025-01-22,R04,Partner Haulage,1766,2,2,Y,634915
SHP-2025-00158,2025-01-20,2025-01-21,R03,Fleet B,2645,1,1,Y,236627
SHP-2025-00159,2025-01-20,2025-01-22,R04,Fleet B,1902,2,2,Y,679388
SHP-2025-00160,2025-01-20,2025-01-23,R05,Partner Haulage,1412,1,3,N,406235
SHP-2025-00161,2025-01-20,2025-01-23,R09,Fleet A,50,3,3,Y,50256
SHP-2025-00162,2025-01-20,2025-01-22,R01,Fleet A,1592,2,2,Y,644503
SHP-2025-00163,2025-01-20,2025-01-22,R01,Fleet B,2861,2,2,Y,995029
SHP-2025-00164,2025-01-20,2025-01-21,R03,Fleet A,1714,1,1,Y,160496
SHP-2025-00165,2025-01-21,2025-01-22,R07,Fleet A,1928,1,1,Y,286819
SHP-2025-00166,2025-01-21,2025-01-22,R08,Fleet A,1276,1,1,Y,295439
SHP-2025-00167,2025-01-21,2025-01-22,R05,Fleet A,3161,1,1,Y,816681
SHP-2025-00168,2025-01-21,2025-01-24,R08,Fleet A,936,1,3,N,230738
SHP-2025-00169,2025-01-21,2025-01-22,R03,Partner Haulage,1098,1,1,Y,111705
SHP-2025-00170,2025-01-21,2025-01-22,R06,Fleet A,1824,1,1,Y,116253
SHP-2025-00171,2025-01-22,2025-01-23,R05,Fleet A,2538,1,1,Y,673218
SHP-2025-00172,2025-01-22,2025-01-23,R08,Fleet B,748,1,1,Y,194013
SHP-2025-00173,2025-01-22,2025-01-24,R04,Fleet B,2810,2,2,Y,987159
SHP-2025-00174,2025-01-22,2025-01-23,R08,Partner Haulage,2455,1,1,Y,575620
SHP-2025-00175,2025-01-22,2025-01-24,R04,Fleet B,50,2,2,Y,32963
SHP-2025-00176,2025-01-22,2025-01-24,R01,Fleet A,2662,2,2,Y,1041353
SHP-2025-00177,2025-01-22,2025-01-23,R07,Partner Haulage,2148,1,1,Y,289127
SHP-2025-00178,2025-01-22,2025-01-23,R03,Fleet A,2413,1,1,Y,231188
SHP-2025-00179,2025-01-23,2025-01-24,R07,Fleet B,2073,1,1,Y,285100
SHP-2025-00180,2025-01-23,2025-01-24,R07,Partner Haulage,1239,1,1,Y,199097
SHP-2025-00181,2025-01-23,2025-01-25,R01,Fleet B,2040,2,2,Y,800578
SHP-2025-00182,2025-01-23,2025-01-24,R06,Partner Haulage,1543,1,1,Y,95166
SHP-2025-00183,2025-01-23,2025-01-25,R10,Partner Haulage,1196,2,2,Y,378980
SHP-2025-00184,2025-01-23,2025-01-24,R08,Fleet B,1005,1,1,Y,268823
SHP-2025-00185,2025-01-24,2025-01-25,R03,Fleet B,697,1,1,Y,70688
SHP-2025-00186,2025-01-24,2025-01-25,R05,Fleet A,1491,1,1,Y,401115
SHP-2025-00187,2025-01-24,2025-01-25,R03,Partner Haulage,503,1,1,Y,59747
SHP-2025-00188,2025-01-24,2025-01-25,R06,Fleet A,3056,1,1,Y,179958
SHP-2025-00189,2025-01-24,2025-01-26,R02,Fleet B,672,2,2,Y,264698
SHP-2025-00190,2025-01-24,2025-01-26,R04,Partner Haulage,3038,2,2,Y,1201312
SHP-2025-00191,2025-01-24,2025-01-25,R08,Fleet B,1359,1,1,Y,316704
SHP-2025-00192,2025-01-26,2025-01-28,R04,Fleet B,2799,2,2,Y,1092846
SHP-2025-00193,2025-01-26,2025-01-27,R08,Fleet B,1488,1,1,Y,322123
SHP-2025-00194,2025-01-26,2025-01-28,R10,Fleet A,1646,2,2,Y,495870
SHP-2025-00195,2025-01-26,2025-01-28,R01,Fleet A,1211,2,2,Y,514892
SHP-2025-00196,2025-01-26,2025-01-28,R01,Fleet B,1570,2,2,Y,639833
SHP-2025-00197,2025-01-26,2025-01-28,R01,Fleet A,2799,2,2,Y,1031753
SHP-2025-00198,2025-01-26,2025-02-01,R09,Fleet A,2067,3,6,N,1329228
SHP-2025-00199,2025-01-26,2025-01-27,R06,Fleet A,3697,1,1,Y,224201
SHP-2025-00200,2025-01-26,2025-01-28,R10,Fleet A,1226,2,2,Y,457591
SHP-2025-00201,2025-01-26,2025-01-29,R09,Fleet B,2123,3,3,Y,1190749
SHP-2025-00202,2025-01-26,2025-01-28,R10,Fleet B,2961,2,2,Y,1063536
SHP-2025-00203,2025-01-26,2025-01-30,R05,Fleet A,416,1,4,N,115616
SHP-2025-00204,2025-01-27,2025-01-28,R08,Partner Haulage,2048,1,1,Y,429140
SHP-2025-00205,2025-01-27,2025-01-28,R03,Partner Haulage,2783,1,1,Y,255720
SHP-2025-00206,2025-01-27,2025-01-29,R02,Partner Haulage,986,2,2,Y,313514
SHP-2025-00207,2025-01-27,2025-01-29,R10,Fleet B,1600,2,2,Y,517928
SHP-2025-00208,2025-01-27,2025-01-31,R09,Fleet A,1862,3,4,N,1090138
SHP-2025-00209,2025-01-27,2025-01-30,R09,Fleet A,1671,3,3,Y,979948
SHP-2025-00210,2025-01-28,2025-01-29,R06,Partner Haulage,1854,1,1,Y,109774
SHP-2025-00211,2025-01-28,2025-01-29,R05,Fleet A,846,1,1,Y,275087
SHP-2025-00212,2025-01-28,2025-01-29,R03,Fleet B,50,1,1,Y,19047
SHP-2025-00213,2025-01-28,2025-01-30,R02,Partner Haulage,222,2,2,Y,95095
SHP-2025-00214,2025-01-28,2025-02-01,R02,Fleet A,1110,2,4,N,380978
SHP-2025-00215,2025-01-28,2025-02-01,R03,Partner Haulage,1471,1,4,N,145071
SHP-2025-00216,2025-01-28,2025-01-29,R08,Fleet B,2377,1,1,Y,576326
SHP-2025-00217,2025-01-28,2025-01-29,R08,Fleet B,3535,1,1,Y,764710
SHP-2025-00218,2025-01-28,2025-01-29,R06,Fleet A,1834,1,1,Y,126009
SHP-2025-00219,2025-01-28,2025-01-29,R03,Fleet B,2217,1,1,Y,210089
SHP-2025-00220,2025-01-28,2025-01-29,R06,Fleet A,2508,1,1,Y,155856
SHP-2025-00221,2025-01-29,2025-02-03,R09,Fleet A,1626,3,5,N,1066186
SHP-2025-00222,2025-01-29,2025-01-30,R06,Fleet B,2435,1,1,Y,151547
SHP-2025-00223,2025-01-29,2025-01-31,R04,Fleet A,834,2,2,Y,281628
SHP-2025-00224,2025-01-29,2025-01-30,R03,Fleet B,1618,1,1,Y,151781
SHP-2025-00225,2025-01-29,2025-01-31,R02,Fleet B,1328,2,2,Y,490444
SHP-2025-00226,2025-01-29,2025-01-31,R01,Fleet A,685,2,2,Y,309783
SHP-2025-00227,2025-01-29,2025-01-30,R07,Fleet B,1242,1,1,Y,185645
SHP-2025-00228,2025-01-29,2025-01-31,R01,Partner Haulage,1882,2,2,Y,768325
SHP-2025-00229,2025-01-29,2025-01-30,R06,Fleet B,50,1,1,Y,18110
SHP-2025-00230,2025-01-30,2025-01-31,R03,Fleet B,1577,1,1,Y,151997
SHP-2025-00231,2025-01-30,2025-01-31,R05,Fleet A,865,1,1,Y,231754
SHP-2025-00232,2025-01-30,2025-02-01,R02,Fleet B,3299,2,2,Y,1292640
SHP-2025-00233,2025-01-30,2025-01-31,R03,Fleet B,2370,1,1,Y,205674
SHP-2025-00234,2025-01-30,2025-02-01,R04,Fleet B,2518,2,2,Y,943946
SHP-2025-00235,2025-01-30,2025-01-31,R05,Fleet A,1246,1,1,Y,366223
SHP-2025-00236,2025-01-30,2025-01-31,R06,Fleet A,2510,1,1,Y,155364
SHP-2025-00237,2025-01-30,2025-01-31,R06,Fleet A,1054,1,1,Y,72701
SHP-2025-00238,2025-01-31,2025-02-04,R09,Fleet B,1270,3,4,N,807929
SHP-2025-00239,2025-01-31,2025-02-01,R06,Fleet A,2864,1,1,Y,160945
SHP-2025-00240,2025-01-31,2025-02-01,R08,Fleet B,1791,1,1,Y,403848
SHP-2025-00241,2025-01-31,2025-02-02,R02,Fleet A,1024,2,2,Y,365329
SHP-2025-00242,2025-01-31,2025-02-02,R01,Fleet A,2053,2,2,Y,840833
SHP-2025-00243,2025-01-31,2025-02-01,R05,Fleet B,1908,1,1,Y,508107
SHP-2025-00244,2025-01-31,2025-02-01,R08,Fleet B,2393,1,1,Y,521015
SHP-2025-00245,2025-01-31,2025-02-01,R07,Fleet B,2474,1,1,Y,376029
SHP-2025-00246,2025-01-31,2025-02-01,R08,Partner Haulage,2733,1,1,Y,619362
SHP-2025-00247,2025-02-03,2025-02-05,R10,Partner Haulage,3470,2,2,Y,1279805
SHP-2025-00248,2025-02-03,2025-02-05,R02,Fleet B,284,2,2,Y,115889
SHP-2025-00249,2025-02-03,2025-02-04,R03,Fleet A,1711,1,1,Y,166625
SHP-2025-00250,2025-02-03,2025-02-05,R01,Fleet A,938,2,2,Y,414720
SHP-2025-00251,2025-02-03,2025-02-04,R07,Fleet B,2281,1,1,Y,359347
SHP-2025-00252,2025-02-03,2025-02-05,R01,Partner Haulage,1175,2,2,Y,527065
SHP-2025-00253,2025-02-03,2025-02-04,R08,Fleet B,2281,1,1,Y,515448
SHP-2025-00254,2025-02-03,2025-02-04,R08,Fleet A,2615,1,1,Y,557667
SHP-2025-00255,2025-02-03,2025-02-04,R03,Fleet A,4024,1,1,Y,399207
SHP-2025-00256,2025-02-03,2025-02-06,R09,Fleet A,2170,3,3,Y,1444413
SHP-2025-00257,2025-02-03,2025-02-04,R03,Fleet A,2119,1,1,Y,184902
SHP-2025-00258,2025-02-04,2025-02-06,R10,Fleet A,2181,2,2,Y,732249
SHP-2025-00259,2025-02-04,2025-02-06,R02,Fleet B,1924,2,2,Y,632921
SHP-2025-00260,2025-02-04,2025-02-06,R10,Fleet B,436,2,2,Y,173006
SHP-2025-00261,2025-02-04,2025-02-05,R05,Fleet A,1261,1,1,Y,376852
SHP-2025-00262,2025-02-04,2025-02-06,R10,Fleet B,747,2,2,Y,259076
SHP-2025-00263,2025-02-04,2025-02-05,R05,Fleet B,1736,1,1,Y,493815
SHP-2025-00264,2025-02-04,2025-02-06,R10,Fleet B,1887,2,2,Y,706510
SHP-2025-00265,2025-02-04,2025-02-06,R02,Fleet B,1790,2,2,Y,742766
SHP-2025-00266,2025-02-04,2025-02-05,R08,Fleet B,1852,1,1,Y,393618
SHP-2025-00267,2025-02-04,2025-02-05,R05,Fleet B,3568,1,1,Y,1010438
SHP-2025-00268,2025-02-04,2025-02-07,R09,Fleet B,1806,3,3,Y,1287722
SHP-2025-00269,2025-02-04,2025-02-06,R01,Partner Haulage,2568,2,2,Y,1159102
SHP-2025-00270,2025-02-05,2025-02-06,R07,Fleet A,1265,1,1,Y,210434
SHP-2025-00271,2025-02-05,2025-02-07,R02,Fleet A,2065,2,2,Y,720629
SHP-2025-00272,2025-02-05,2025-02-07,R04,Fleet A,3014,2,2,Y,1127989
SHP-2025-00273,2025-02-05,2025-02-06,R07,Fleet A,1047,1,1,Y,170711
SHP-2025-00274,2025-02-05,2025-02-06,R03,Fleet B,50,1,1,Y,19453
SHP-2025-00275,2025-02-05,2025-02-07,R10,Fleet A,157,2,2,Y,71609
SHP-2025-00276,2025-02-05,2025-02-06,R03,Fleet A,1401,1,1,Y,142419
SHP-2025-00277,2025-02-05,2025-02-07,R10,Fleet A,1551,2,2,Y,511781
SHP-2025-00278,2025-02-05,2025-02-06,R05,Fleet B,1937,1,1,Y,504367
SHP-2025-00279,2025-02-05,2025-02-06,R08,Partner Haulage,3012,1,1,Y,765574
SHP-2025-00280,2025-02-05,2025-02-07,R02,Fleet A,1388,2,2,Y,519577
SHP-2025-00281,2025-02-05,2025-02-06,R06,Fleet A,234,1,1,Y,28671
SHP-2025-00282,2025-02-05,2025-02-07,R04,Fleet A,2934,2,2,Y,1049606
SHP-2025-00283,2025-02-05,2025-02-06,R06,Fleet A,2270,1,1,Y,160453
SHP-2025-00284,2025-02-06,2025-02-07,R06,Fleet A,1173,1,1,Y,83288
SHP-2025-00285,2025-02-06,2025-02-07,R06,Fleet A,2433,1,1,Y,159532
SHP-2025-00286,2025-02-06,2025-02-07,R06,Partner Haulage,3904,1,1,Y,255139
SHP-2025-00287,2025-02-06,2025-02-07,R03,Partner Haulage,1853,1,1,Y,207970
SHP-2025-00288,2025-02-06,2025-02-07,R03,Fleet B,1639,1,1,Y,157373
SHP-2025-00289,2025-02-06,2025-02-08,R04,Fleet A,392,2,2,Y,168419
SHP-2025-00290,2025-02-06,2025-02-08,R01,Partner Haulage,1424,2,2,Y,572901
SHP-2025-00291,2025-02-06,2025-02-07,R03,Fleet A,897,1,1,Y,98846
SHP-2025-00292,2025-02-07,2025-02-08,R03,Fleet A,1572,1,1,Y,159759
SHP-2025-00293,2025-02-07,2025-02-08,R03,Fleet A,2996,1,1,Y,292405
SHP-2025-00294,2025-02-07,2025-02-09,R10,Fleet B,1985,2,2,Y,691665
SHP-2025-00295,2025-02-07,2025-02-11,R04,Fleet B,1438,2,4,N,496789
SHP-2025-00296,2025-02-07,2025-02-11,R01,Fleet A,827,2,4,N,334969
SHP-2025-00297,2025-02-07,2025-02-09,R02,Partner Haulage,2960,2,2,Y,962967
SHP-2025-00298,2025-02-07,2025-02-09,R01,Fleet A,2164,2,2,Y,874960
SHP-2025-00299,2025-02-07,2025-02-09,R01,Fleet A,1012,2,2,Y,463515
SHP-2025-00300,2025-02-07,2025-02-08,R06,Fleet B,2213,1,1,Y,126824
